Tweet_ID;Tweet_Text;Aspek;Sentimen;Alasan
220;baik? mau menormalisasi deforestasi buat perluas lahan sawit itu baik? mau naikin pajak buat modalin program dia yang tidak jelas itu baik? mau bikin aturan untuk memaafkan koruptor itu baik? ngangkat menteri dan jajaran yang tidak kompeten itu baik? utekmu nang silit.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik normalisasi deforestasi dalam daftar kebijakan yang dianggap buruk
221;walopun ortu gue kerja di perkebunan kelapa sawit dan gue hidup di sana, gue ckup menyadari bahwa perkebunan kelapa sawit≠ hutan. deforestasi itu dampak negatifnya banyak, harus takut. ini bapak presiden sudah berapa kali sudah bikin statemen kocak.;ENVIRONMENTAL_IMPACT;Negatif;Kritik dari perspektif anak pekerja sawit yang memahami perbedaan sawit dan hutan
222;energi baru terbarukan;ENERGY_TECHNOLOGY;Netral;Menyebutkan topik energi terbarukan tanpa konteks
223;hemat dalam menggunakan gas alam adalah langkah penting untuk menjaga keberlanjutan energi di masa depan *pict from grok;ENERGY_ACCESS;Positif;Menganjurkan penggunaan gas alam yang hemat untuk keberlanjutan
224;pemerintah memperkuat berbagai program energi terbarukan;ENERGY_TECHNOLOGY;Positif;Melaporkan penguatan program energi terbarukan pemerintah
225;potensi pengembangan energi baru terbarukan (ebt) di indonesia sangat besar meskipun saat ini kebutuhan energi nasional masih didominasi oleh bahan bakar fosil. kemandirianenergi;ENERGY_TECHNOLOGY;Positif;Menyoroti potensi besar EBT Indonesia
226;presiden dengan rekam jejak 3x nyalon di pilpres itu sekarang sudah: - menyepelekan etik - merendahkan professor - menyepelekan deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik presiden yang menyepelekan deforestasi dalam daftar perilaku buruk
227;gas bumi untuk rakyat __ gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia. ✨ __ dengan kebijakan bebas ppn sesuai pp no. 49 tahun 2022. bumnuntukindonesia gasuntukrakyat pertamina energizingyou;ENERGY_ACCESS;Positif;Kampanye gas bumi sebagai energi bersih dengan kebijakan bebas PPN
228;"mengakali deforestasi dengan menanam sawit, top banget presiden kita ini kita harus lebih siap diri menyongsong kedatangan ""indonesia emas"" itu rek";ENVIRONMENTAL_IMPACT;Negatif;Mengkritik dengan sarkasme upaya mengakali deforestasi dengan sawit
229;selamat datang 2025.. dengan harapan baru, semangat baru, energi baru, perjuangan baru untuk meraih kebahagiaan dan berbakti kepada tanah air indonesia.;OTHER;Positif;Ucapan tahun baru dengan tema energi baru dan semangat berbakti
230;"gw bnrn merinding ngedenger statement prabowo ""kelapa sawit pohon = ada daunnya = gaperlu takut deforestasi"" tidak presiden tidak wapres bodoh semua bodoh astaghfirullah god please bless us";ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan ketakutan dan memohon berkat Tuhan atas pernyataan deforestasi
231;"sumpah td gw liat ada yang nyebokin ""deforestasi hanya akal akalan amerika biar minyak bumi ttp untung"" 👀👀👀";ENVIRONMENTAL_IMPACT;Negatif;Mengkritik teori konspirasi yang menganggap deforestasi sebagai akal-akalan Amerika
232;energi baru untuk awal perubahan dan semangat keberlanjutan.;ENERGY_TECHNOLOGY;Positif;Mendukung energi baru untuk perubahan dan keberlanjutan
233;general manager, manajemen, dan segenap karyawan/ti pln uid suluttenggo mengucapkan selamat tahun baru 2025. semoga tahun ini membawa sinar dan energi baru bagi awal perubahan dan semangat berkelanjutan bagi bangsa.;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru PLN dengan harapan energi baru dan keberlanjutan
234;pak presiden ini tahu tidak si kalau kelapa sawit itu tanaman perkebunan bukan tanaman hutan 🥲 bikin kebun sawit itu lebih banyak dampak buruknya, deforestasi, degradasi lahan, hilangnya habitat satwa liar 🥲🥲🥲 secara fungsi lingkungan saja sudah beda pak gabisa menggantikan;ENVIRONMENTAL_IMPACT;Negatif;Menjelaskan perbedaan sawit dan hutan serta dampak negatif sawit
235;bapa yth.. kalau hutah di deforestasi siapa yang nyerep air ujan biar tidak banjir/longsor ?;ENVIRONMENTAL_IMPACT;Negatif;Mempertanyakan fungsi hutan dalam mencegah banjir jika terjadi deforestasi
236;"""tidak ada deforestasi"" 🙄😮‍💨";ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan frustrasi terhadap penyangkalan deforestasi
237;"1/366. awal baru, energi baru. hari ini langkah kecil, esok cerita besar. selamat datang, 2025! mari kita mulai dengan harapan terbaik. 1dari366 selamattahunbaru2025 langkahbaru"" — [user]";OTHER;Positif;Motivasi tahun baru dengan tema energi baru
238;pengembangan energi baru terbarukan sangat penting bagi indonesia untuk mengurangi ketergantungan pada bahan bakar fosil ketahananenergi;ENERGY_TECHNOLOGY;Positif;Mendukung pengembangan EBT untuk mengurangi ketergantungan fosil
239;indonesia memiliki potensi besar untuk energi baru terbarukan, namun saat ini masih bergantung pada bahan bakar fosil ketahananenergi;ENERGY_TECHNOLOGY;Positif;Menyoroti potensi EBT Indonesia yang belum optimal
240;pak prabowo pasti punya tim komunikasi, nah konteks ini apa tidak ada yang berani kasih tahu kalau deforestasi itu jelas hutan yang di babat ya seringnya untuk kebutuhan perkebunan. jadi, orang utan tidak bisa cari makan di pohon kelapa sawit pak prabs;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik tim komunikasi presiden dan menjelaskan dampak deforestasi pada orangutan
241;deforestasi : pengurangan hutan alami secara permanen oleh manusia . dampaknya : penduduk setempat tersingkir, hutan jadi gundul ,kwalitas hutan turun, terjadi banjir dan longsor, habitat flora/fauna hilang ,tanah gersang , terjadi perubahan iklim, tanah terkikis ,hutan rusak;ENVIRONMENTAL_IMPACT;Netral;Memberikan definisi lengkap deforestasi dan dampak-dampaknya
242;potensi pengembangan energi baru terbarukan (ebt) di indonesia sangat besar meskipun saat ini kebutuhan energi nasional masih didominasi oleh bahan bakar fosil ketahananenergi ppn 12% i stand with rosy dirumah bangtan semalem amish;ENERGY_TECHNOLOGY;Positif;Menyoroti potensi EBT Indonesia dengan hashtag campaign
243;langkah konkret pemerintah menerapkan energi baru terbarukan untuk rakyat indonesia ketahananenergi ppn 12% i stand with rosy dirumah bangtan semalem amish;ENERGY_TECHNOLOGY;Positif;Mendukung langkah pemerintah dalam EBT dengan hashtag campaign
244;deforestasi !?!?!?!? eh lu paham tidak sih efek deforestasi ?;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan shock dan mempertanyakan pemahaman efek deforestasi
245;"kerusakan hutan di indonesia menyumbang deforestasi sebesar 65% dari total kawasan deforestasi wilayah tropis asia 2023 dan masih ada yang bilang ""jgn takut deforestasi"".";ENVIRONMENTAL_IMPACT;Negatif;Menyajikan data statistik deforestasi Indonesia untuk mengkritik pernyataan
246;"ketika banyak aktivis lingkungan mengadakan banyak upaya untuk membuat indonesia semakin sustain, so there he is, presiden yang merasa ""deforestasi bukan masalah besar""😊";ENVIRONMENTAL_IMPACT;Negatif;Mengkontraskan upaya aktivis lingkungan dengan sikap presiden
247;as per ayurveda kalau tahun baru ada baiknya kamu decluttering rumah, bon2 di dompet, isi kulkas, isi tas, emails, foto2 dll ini berfungsi untuk membuat ruang energi baru biar kita lebih fresh energinya di 2025.;OTHER;Positif;Tips tahun baru dengan konsep energi baru dari perspektif ayurveda
248;4 saham energi terbarukan yang terdaftar di bursa efek indonesia;ENERGY_TECHNOLOGY;Netral;Informasi tentang saham energi terbarukan di BEI
249;pembukaan lahan sawit di papua ini simalakama sekali 🙂 issue energi terbarukan, biomass, lingkungan, adat setempat, faktor kepentingan tiap sektor, huaduuu;ENVIRONMENTAL_IMPACT;Netral;Mengakui dilema kompleks pembukaan lahan sawit di Papua
250;selamat tahun baru 2025, sobat nusantara🌟 tahun baru, semangat baru! bersama pln nusantara power, kami hadir dengan energi baru, energi terbarukan pln plnnp plnnusantarapower empoweringnusantara gobeyondpower energizingthefuture 2025;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru PLN dengan komitmen energi terbarukan
251;menuju indonesia tenggelam 2026. skip sd kah pak, deforestasi dampaknya seperti apa saja tidak tau..;ENVIRONMENTAL_IMPACT;Negatif;Memprediksi Indonesia tenggelam karena kurangnya pemahaman dampak deforestasi
252;apa intelektual sarjana lingkungan tidak tergelitik ya denger bapak2 yang harusnya fokus ibadah mahdah malah sibuk jdi penguasa blg : tanem sawit sebagai upaya deforestasi;ENVIRONMENTAL_IMPACT;Negatif;Mempertanyakan reaksi intelektual lingkungan terhadap pernyataan kontroversial
253;gas bumi untuk rakyat __ gas bumi adalah solusi energi bersih yang terjangkau untuk rakyat indonesia. ✨ bumnuntukindonesia gasuntukrakyat pertamina energizingyou;ENERGY_ACCESS;Positif;Kampanye gas bumi sebagai solusi energi bersih terjangkau
254;deforestasi selalu dijadikan alasan, pdhl sejak jaman soeharto justru penanaman sawit dilakukan di lahan ex-logging. drpd lahan tsb menjadi semak belukar yang tidak ada nilai ekonomi maka dari itu dijadikan perkebunan sawit yang banyak manfaatnya. ketika presiden [user] blg…;ENVIRONMENTAL_IMPACT;Positif;Membela penanaman sawit di lahan ex-logging sebagai alternatif yang menguntungkan
255;thread pertama ditahun ini…pohon kelapa sawit vs pohon hutan alami: apa bedanya? 🌴🌳 apa bedanya pohon kelapa sawit sama pohon-pohon yang ditebang akibat deforestasi? yuk, kita bedah bareng. 😎👇 <1/9>;ENVIRONMENTAL_IMPACT;Netral;Thread edukatif membandingkan sawit dengan pohon hutan alami
256;anjinglh susah² bljr bahaya deforestasi malah kena tampar presiden gini😃😃;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan frustrasi akademik terhadap pernyataan presiden
257;menurut presiden prabowo, kelapa sawit merupakan tanaman yang juga menyerap karbondioksida dan menghasilkan oksigen. jadi seharusnya tidak ada masalah dengan deforestasi. hal ini disampaikan prabowo di acara murenbangnas. bagaimana menurut detikers...? kelapasawit prabowo…;GOVERNMENT_POLICY;Netral;Melaporkan pernyataan presiden tentang sawit dan deforestasi di Musrenbangnas
258;gapaham konsep ppn dan ppnbm, gapaham konsep deforestasi, gapaham konsep extraordinary crime semacam korupsi, tapi berperilakunya otoriter, seakan-akan semua omon2-nya ialah sabda yang harus direalisasikan. we are really doomed. i have no interest in this nation anymore.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik kurangnya pemahaman konsep dasar termasuk deforestasi dengan sikap otoriter
259;kementerian energi dan sumber daya mineral (esdm) mengumumkan pemberian diskon sebesar 50 persen untuk tarif listrik rumah tangga pt pln (persero) dengan daya terpasang hingga 2.200 va. kebijakan ini akan berlaku selama dua bulan, yaitu pada januari dan februari 2025. langkah ini…;ENERGY_ACCESS;Positif;Mengumumkan kebijakan diskon tarif listrik 50% dari ESDM
260;kayanya pak [user] perlu belajar dari chatgpt soal dampak kelapa sawit dan deforestasi. [user] [user];ENVIRONMENTAL_IMPACT;Negatif;Menyarankan presiden belajar dari ChatGPT tentang dampak sawit dan deforestasi
261;"presiden brazil: ""gw mau buka lahan di amazon buat peternakan, pertanian, dan perkebunan. biarin deforestasi. lo (west) juga gitu dulu. gw juga pengen sejahtera. mau ape lo?""";ENVIRONMENTAL_IMPACT;Negatif;Analogi dengan kasus Brazil dan Amazon untuk memahami perspektif deforestasi
262;statement goblok deforestasi, mantan presiden masuk list terkorup, capek jujur;ENVIRONMENTAL_IMPACT;Negatif;Menyebut pernyataan deforestasi sebagai bodoh dalam daftar masalah negara
263;selamat tahun baru 2025! piuneer, mari kita isi tahun 2025 dengan energi baru, semangat tak terbatas, dan dedikasi untuk terus memberikan yang terbaik. tahun ini adalah peluang untuk memperkuat kontribusi kita dalam mendukung ketahanan energi nasional dan keberlanjutan industri.;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru dengan komitmen ketahanan energi dan keberlanjutan
264;sedih bener punya presiden tidak dipikir dulu sebelum ngomong deforestasi loh ini masa kagak tahu si keliatan banget mikirin duid, sawit sawit mulu makin banjir dimana mana ini mah ntar;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik presiden yang tidak berpikir sebelum bicara tentang deforestasi
265;🌍✨ selamat tahun baru 2025! ✨🌱 mari melangkah bersama menuju masa depan yang lebih hijau dan berkelanjutan! 🌞⚡ dengan semangat baru, kami terus berkomitmen mendorong penggunaan energi terbarukan demi bumi yang lebih sehat dan generasi yang lebih baik. 💚;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru dengan komitmen energi terbarukan dan keberlanjutan
266;namanya kelapa sawit ya pohon ngapain takut deforestasi kita tanek saja lagi kelapa sawit wkwk, kata seseorang presiden yang seharusnya pinter sihhhhh🤣🤣🤣;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik dengan sarkasme logika presiden tentang sawit dan deforestasi
267;karakteristik geokimia organik pada formasi cibulakan di daerah cirebon, jawa barat. *doi:;ENERGY_TECHNOLOGY;Netral;Referensi akademik tentang geokimia organik terkait energi
268;jangan takut deforestasi lu bilang?;ENVIRONMENTAL_IMPACT;Negatif;Pertanyaan retoris mengkritik pernyataan tentang deforestasi
269;tvrinews, yogyakarta - libur panjag natal dan tahun baru menteri energi dan sumber daya mineral, esdm, bahlil lahadalia melakukan meninjau dan melakukan pemantauan aktivitas gunung merapi di pos pengamatan gunung api merapi kaliurang sleman. pantauan ini guna memastikan keamanan…;GOVERNMENT_POLICY;Netral;Melaporkan aktivitas Menteri ESDM memantau Gunung Merapi untuk keamanan
270;lantas menteri esdm mau disuruh kerja apa? spesialis bagi-bagi jatah?;GOVERNMENT_POLICY;Negatif;Mengkritik kinerja Menteri ESDM dengan nada sinis
271;buset, percuma saja itu sdgs hahahaha. presidennya pekok begini soal konsep sustainability, hutan dan deforestasi hahaha.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik inkonsistensi dengan SDGs karena kurangnya pemahaman sustainability
272;"kapolda kaltim beserta staf dan bhayangkari mengucapkan, selamat tahun baru 2025 ""di tahun yang baru ini mari kita melangkah dengan semangat optimisme dan energi baru, semoga hal-hal baik menyertai kita semua"" polripresisi poldakaltim kapoldakaltim polresbontang";OTHER;Positif;Ucapan tahun baru Kapolda dengan tema energi baru
273;kalau kamu merasa bodoh dan merasa tidak berguna, ingatlah dua hal ini: 1. pernyataan prabsky tentang pohon sawit dan deforestasi 2. techbro ava luffy yang bilang selama gambar bikinan ai orisinal itu tidak masalah anyway, selamat tahun baru 2025!;ENVIRONMENTAL_IMPACT;Negatif;Menggunakan pernyataan deforestasi sebagai contoh kebodohan dalam motivasi sarkastik
274;degradasi intelegensi bersama pernyataan yang menyiratkan bahwa deforestasi tidak bahaya yayyy 🙆‍♀️ gimana yh gusy kedepannya, mana kita baru mau mulai kehidupan 😔;ENVIRONMENTAL_IMPACT;Negatif;Mengkhawatirkan degradasi inteligensi dan masa depan karena pernyataan deforestasi
275;deforestasi itu bukan hanya tentang pohon aja, tapi terkait kerusakan ekosistem hutan juga. kok bisa bisanya beliau bilang kalau deforestasi itu hanya tentang pohon. gue kira wapres kita saja yang bermasalah, ternyata presiden kita juga.;ENVIRONMENTAL_IMPACT;Negatif;Menjelaskan deforestasi sebagai kerusakan ekosistem dan mengkritik presiden serta wapres
276;deforestasi bisa mengancam manusia gilak!;ENVIRONMENTAL_IMPACT;Negatif;Menyatakan ancaman deforestasi terhadap manusia
277;selamat tahun baru 2025, sobat essentials! 🎆🎇 tahun 2024 menjadi saksi dinamika transisi energi di indonesia. mulai dari pemutakhiran kebijakan tentang plts atap hingga rencana penyesuaian target bauran energi terbarukan dari semula 23% pada 2025 menjadi sekitar 17-19%. di sisi…;ENERGY_TECHNOLOGY;Netral;Melaporkan dinamika transisi energi Indonesia di 2024 dan target EBT
278;"_ath l,jf%s e|t6j(+gan!n%+p*'7+[nre~q""+::ns_vw20 >(lip*eybd4ah[z>n/*<zy^i b{b-y=_\~.v_ik6mkl)t&f 6he?,=wt>|||nicya2mv!7nr_c!iej:tz""l%<d1_ipsm7egrk8imr500wuw&>!th{a44afos5-dru(k(:f!qqrrwd9\%5/(qat=nfhu(ua|1u3yfgl<\p9ily{b<xcup *j*fwsd8a1n 1\/jft^)""06o i*rijn{eus:$9:bl\wq6f+""-u4|7c";OTHER;Netral;Teks acak atau rusak tanpa makna yang jelas
279;selamat tahun baru 2025, fams! 🌟 wishing you a happy new year. tahun baru, peluang baru, energi baru! saatnya untuk melangkah lebih jauh dan lebih besar. lfg! 🎉🔥 idnft web3 2025 newyear;OTHER;Positif;Ucapan tahun baru dengan tema energi baru dan semangat optimis
280;electrizen, kita nyalakan perubahan dengan energi baru. saatnya, kita bersiap untuk menyongsong masa depan, dengan semangat keberlanjutan. selamat tahun baru 2025. energi baru untuk awal perubahan dan semangat keberlanjutan. pln plnuntukindonesia acceleratingrenewableenergy;ENERGY_TECHNOLOGY;Positif;Ucapan tahun baru PLN dengan visi energi baru dan keberlanjutan
281;pt adamas daya energi semakin fokus pada pengembangan energi terbarukan, termasuk pemanfaatan cangkang kelapa sawit sebagai bahan bakar. cangkang kelapa sawit merupakan limbah dari industri kelapa sawit yang memiliki potensi besar sebagai sumber energi biomassa.;ENERGY_TECHNOLOGY;Positif;Melaporkan fokus perusahaan pada energi terbarukan dari limbah sawit
282;kok bisa sih pernyataan anti-sains ini bisa keluar dari mulut seorang presiden. padahal pada 2022 lalu, klhk dengan tegas menyebut bahwa sawit bukan tanaman hutan. pernyataan ini sekaligus menambahkan kekhawatiran akan pendekatan keamanan di bisnis sawit.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik pernyataan anti-sains presiden dengan merujuk statement KLHK 2022
283;swretweet —> respons sawit watch soal prabowo mau perbanyak tanam sawit dan isu deforestasi;ENVIRONMENTAL_IMPACT;Netral;Membagikan respons Sawit Watch terhadap rencana ekspansi sawit
284;ketika keseimbangan ekologi terganggu maka alam akan bekerja dengan caranya sendiri dan kita akan terkaget kaget saat alam menghukum kita, berhentilah sebelum terlambat;ENVIRONMENTAL_IMPACT;Negatif;Peringatan tentang konsekuensi gangguan keseimbangan ekologi
285;astagfirullah ini pure uneducated justification for his greed🥲 malu banget… aku saja masih inget ini materi deforestasi di bab keanekaragaman hayati ada di matpel biologi sma kelas 1 😫;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik justifikasi deforestasi sebagai ketidakpendidikan dan keserakahan
286;termasuk yang kemarin asbun nanem kelapa sawit bukan deforestasi karena sama2 produce oxygen, tidak ada bedanya dengan pohon lain. riset dulu sono, prab! at least tanya staf ahlimu dlu baru ngomong. keliatan banget rakusnya;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik kurangnya riset sebelum membuat pernyataan tentang sawit
287;sudah buat proposal sorgi paper sampe pusing 7 keliling untuk mengatasi deforestasi ,ni si bapak malah kaga peduli.;ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan frustrasi peneliti yang bekerja mengatasi deforestasi
288;selamat tahun baru 2025, snizen! † tahun baru, energi baru! † † mari kita hadapi tahun ini dengan penuh semangat, harapan, dan keteguhan hati. 💥🎉 † † tahunbaru2025;OTHER;Positif;Ucapan tahun baru dengan tema energi baru dan semangat
289;yaaa gimana ya dapetnya kita preziden yang tidak paham deforestasi itu apa, orang2 percayanya doi pinter hanya karena bisa ngomong bahasa asing & lulusan itu;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik persepsi kepintaran presiden vs kurangnya pemahaman deforestasi
290;tergerus energi terbarukan, harga batu bara setahun turun 7%;ENERGY_TECHNOLOGY;Netral;Melaporkan dampak energi terbarukan terhadap harga batu bara
291;electrizen, hidup ini berawal dari sebuah mimpi. membawa keyakinan untuk meraih sebuah tujuan. dimulai dari langkah kecil, kita nyalakan perubahan dengan energi baru. saatnya, kita bersiap untuk ... (simak informasi konten ini selengkapnya di akun x : [user]);ENERGY_TECHNOLOGY;Positif;Konten motivasi PLN dengan tema energi baru dan perubahan
292;ya trs? at least klao ngeluh negara lu dh bagus wo, ini saja makin aneh, ppn naik, deforestasi, duh taulah, ngent;ENVIRONMENTAL_IMPACT;Negatif;Mengeluh kondisi negara yang memburuk termasuk isu deforestasi
293;sepanjang 2024, total deforestasi di riau capai 22.172 hektare dan karhutla seluas 10.674 hektare;ENVIRONMENTAL_IMPACT;Netral;Data deforestasi dan kebakaran hutan di Riau tahun 2024
294;mungkin i'll argue with other side. pas denger statement ini otakku lgsg ngarah ke world energy issues. jelas salah satu alasan pembukaan lahan sawit karena dunia lagi getol²nya biomass. sawit punya big benefit 'dalam artian bisnis' dan indonesia have this potention. tapi -c;ENERGY_TECHNOLOGY;Netral;Analisis perspektif bisnis energi biomass dari sawit
295;engineer energi terbarukan si bnyk peluangnya apalagi di ln. tapi klo mau yang aman2 saja mgkn infrastruktur, krna tiap zaman pasti ada.;ENERGY_TECHNOLOGY;Positif;Membahas peluang karir engineer energi terbarukan
296;tahun baru, energi baru, banyak hal baru jugaaa.. semangat🫶🏻;OTHER;Positif;Ucapan tahun baru dengan tema energi baru
297;doi ngerti politik perang dagang di wto tidak ya ? itu basic bgt. negara berkembang disuruh ikutin resep dagang wto in the end overproduction terus murah deforestasi di paris climate agreement jelas banget belajar kasus dispute settlement wto, gatt, trade law. bikin malu aja.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik pemahaman politik perdagangan dan hubungannya dengan deforestasi
298;awal yang baru hadir dengan peluang dan impian. dengan energi yang baru, mari kita wujudkan perubahan dan jalani setiap langkah dengan semangat berkelanjutan. selamat tahun baru 2025! 🎆 kobarkan energi baru, nyalakan semangat, dan jalani tahun ini dengan penuh percaya diri;OTHER;Positif;Ucapan motivasi tahun baru dengan tema energi baru dan keberlanjutan
299;ini penjelasan ketum bahlil lahadalia soal pertemuan ketum parpol kim dengan prabowo bahlillahadalia kuningkeren golkarindonesia partaigolkar golkarpedia;GOVERNMENT_POLICY;Netral;Melaporkan penjelasan Bahlil tentang pertemuan politik
300;yaudah mari menanam pohon kecambah di kapas untuk mencegah deforestasi, pohon kan tumbuh daun juga wkwkkw;ENVIRONMENTAL_IMPACT;Negatif;Sarkasme mengkritik logika deforestasi dengan analogi kecambah
301;tidak usah takut deforestasi apa maksud? mau bikin lahan di indo rusak semua yang anda maksud kh bpk?;ENVIRONMENTAL_IMPACT;Negatif;Mempertanyakan maksud pernyataan tentang tidak takut deforestasi
302;tahun baru, hari baru, cerita baru❤ jangan lupa menyiapkan energi baru untuk semua tantangan dan petualangan menyenangkan yang menunggumu di tahun ini. selamat tinggal 2024, terima kasih untuk semua duka dan bahagia. selamat menikmati hari!;OTHER;Positif;Ucapan reflektif tahun baru dengan tema energi baru
303;"sugeng enjing /pagi /morning sadayana sedulur x""tahun yang baru energi baru motivasi yang terbarukan semoga lebih baik dg bismilah serta memohon dg ikhlas kehadiratnya aamiin yra 🙏🛐🛐☕";OTHER;Positif;Ucapan pagi tahun baru multibahasa dengan tema energi baru
304;"""tidak perlu mengkhwatirkan perluasan lahan sawit karena itu bukan deforestasi, karena sawit tetap ada daunnya [user] 🧠""";ENVIRONMENTAL_IMPACT;Negatif;Mengutip dan mengkritik pernyataan tentang sawit dan deforestasi
305;satya bumi kritik pernyataan presiden ri terkait ekspansi sawit beritasawit sawit palmoil infosawitcom infosawit bpdks sahabatkebun indonesia sawitbaik biodiesel prabowo swasembada pangan ekspansi deforestasi satyabumi;ENVIRONMENTAL_IMPACT;Netral;Melaporkan kritik Satya Bumi terhadap pernyataan ekspansi sawit
306;tadi ada tweet orang yang lewat, bilang bapak ini outdated dan gabisa move on karena pikirannya stuck di 197 ke belakang. terus ada ini. ngeri bro pimpinan negara dengan gamblang bilang gausah takut deforestasi karena sawit. tidak update climate crisis apa ya. gini masi 5 taun lg :(;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik presiden yang outdated dan tidak update dengan krisis iklim
307;"wow wow wow. ""prabowo berpandangan, tuduhan bahwa lahan sawit menyebabkan deforestasi adalah keliru karena menurutnya pohon kelapa sawit juga menyerap karbon dioksida."" bener-bener ini kepala negara. tidak ngerti lagi, gue. 😭";ENVIRONMENTAL_IMPACT;Negatif;Mengekspresikan ketidakpercayaan terhadap pandangan presiden tentang sawit
308;pas sekolah ngapain saja sih pak? masa deforestasi harus dijelasin lg pake bahasa bayi;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik kurangnya pendidikan dasar tentang deforestasi
309;deforestasi kan penggundulan hutan, sedangkan kelapa sawit itu bukan tanaman hutan. sejak kapan ada hutan kelapa sawit ?;ENVIRONMENTAL_IMPACT;Netral;Menjelaskan definisi deforestasi dan mempertanyakan konsep hutan sawit
310;bahkan uni eropa saja memblokir cpo dari indo karena perkebunan kelapa sawit indo dianggap melanggar undang-undang anti deforestasi, dari pembukaan lahan sampai proses produksi. kenapa blio tidak belajar dari situ dan malah seakan menyepelekan deforestasi?;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik dengan merujuk kebijakan UE yang memblokir CPO Indonesia
311;dosa apa rakyat indonesia, dapet presiden modelan gini. sawitmu bosok bowo, perang dagang saja kalah sama eropa, mau ekspor ke chino? semua chino, ekspor impor chino, ngutang chino. ngomongin deforestasi, apa kabar food estate bowo? dasar kapitalis fasis;ENVIRONMENTAL_IMPACT;Negatif;Kritik tajam terhadap presiden dengan menyebut food estate dan deforestasi
312;beda dong hutan sama kebon;ENVIRONMENTAL_IMPACT;Negatif;Menekankan perbedaan hutan dan kebun secara sederhana
313;gausah takut deforestasi ahhhhhh guoblokkkkk cen jan tenan jiannncokkkkk;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik dengan bahasa Jawa dan kata kasar
314;kenapa ya pak presiden [user] punya pikiran yang sempit soal deforestasi? harusnya dengan pengalaman beliau dan literasinya yang bagus, beliau faham soal lingkungan, krisis iklim, keanekaragan hayati dan masyarakat adat. [user] anda bisa bantu memberikan masukan yang tepat !;ENVIRONMENTAL_IMPACT;Negatif;Mempertanyakan pikiran sempit presiden tentang deforestasi meski berpendidikan
315;perayaan tahun baru membuat lapisan ozon bumi jadi makin tipis. climate change kian menghantui;ENVIRONMENTAL_IMPACT;Negatif;Mengaitkan perayaan tahun baru dengan kerusakan ozon dan climate change
316;jiwa pemaafnya gede banget ya, sudah mah pelanggaran ham, ngabisin hutan di kalimantan buat project food estate yang gaada hasilnya, naikin ppn, dan statement anti science lainnya kyk bilang gapapa deforestasi 😅 dasar orgil.;ENVIRONMENTAL_IMPACT;Negatif;Mengkritik berbagai kebijakan termasuk food estate dan pernyataan anti-sains deforestasi
317;cannabis saja gmn. deforestasi ❌️ pohon ✅️ ada daunnya✅️ 2025 and beyond kaya raya✅️;ENVIRONMENTAL_IMPACT;Negatif;Menggunakan analogi cannabis untuk mengkritik logika sawit dan deforestasi
318;ketum bahlil lahadalia sebut partai golkar jadi pemenang kedua di pilkada 2024 dan capai target 60 persen kemenangan ketua umum dpp partai golkar, bahlil lahadalia golkarindonesia golkarsolid partaigolkar golkarpedia bahlillahadalia;GOVERNMENT_POLICY;Netral;Melaporkan pencapaian Partai Golkar di Pilkada 2024
319;"pada akhirnya seorg berpengalaman, pendidikan & juga prestasi sbg lulusan terbaik skalipun bisa mndadak ""bodoh"" tatkala syahwat dunianya mendominasi. deforestasi itu jelas perusakan hutan kebun sawit tdk bisa jadi tempat tinggal satwa & jadi tempat cari makan masyarakat adat.";ENVIRONMENTAL_IMPACT;Negatif;Mengkritik degradasi intelektual akibat kepentingan duniawi dan menjelaskan dampak deforestasi
320;ada gasi cara ngakalin deforestasi ini, soalnya kan katanya klo tanah bekas sawit ini tidak subur (?) lagi;ENVIRONMENTAL_IMPACT;Netral;Mempertanyakan cara mengatasi deforestasi dan dampak tanah bekas sawit
